Cities,Abbr
"Klag Bay, AK, USA",KBK
"Klagenfurt, Austria",KLU
"Klaipeda, Lithuania",KLJ
"Klamath Falls, OR [Klamath Falls International Airport], USA",LMT
"Klawock, AK [Klawock Airport], USA",KLW
"Kleinzee, South Africa",KLZ
"Klemtu, BC [Klemtu Water Aerodrome], Canada",YKT
"Klerksdorp, South Africa",KXE
"Knee Lake, MB, Canada",YKE
"Knob Noster, MO [Whiteman Air Force Base], USA",SZL
"Knock/Connaught, Ireland",NOC
"Knokke-Heist/Zoute, Belgium",KNO
"Knox, IN [Starke County Airport], USA",OXI
"Knoxville, IA [Knoxville Municipal Airport], USA",OXV
"Knoxville, TN [Knoxville Downtown Island Airport], USA",DKX
"Knoxville, TN [McGhee Tyson Airport], USA",TYS
"Kobe, Japan",UKB
"Kobenhavn (Copenhagen) [Kastrup], Denmark",CPH
"Kobenhavn (Copenhagen) [Roskilde], Denmark",RKE
"Kobuk, AK [Kobuk Airport], USA",OBU
"Kochi, Japan",KCZ
"Kodiak, AK [Kodiak Airport], USA",ADQ
"Kodiak, AK [Kodiak Municipal Airport], USA",KDK
"Koeln (Koln,Cologne) [Deutz], Germany",QKU
"Koeln (Koln,Cologne), Germany",QKL
"Koeln (Koln,Cologne)/Bonn [Nordrhein-Westfalen], Germany",CGN
"Koh Samui, Thailand",USM
"Kohat, Pakistan",OHT
"Koinambe, Papua New Guinea",KMB
"Koingnaas, South Africa",KIG
"Koke Kathiem/Lop Buri, Thailand",KKM
"Kokkola [Pietarsaari], Finland",KOK
"Kokoda, Papua New Guinea",KKD
"Kokomo, IN [Kokomo Municipal Airport], USA",OKK
"Kokonao, Indonesia",KOX
"Kokoro, Papua New Guinea",KOR
"Kokrines, AK, USA",KKS
"Kokshetau (Kokchetav), Kokshetau, Kazakhstan",KOV
"Kol, Papua New Guinea",KQL
"Kolda, Senegal",KDA
"Kolhapur, India",KLH
"Koliganek, AK [New Koliganek Airport], USA",KGK
"Kolwezi, Zaire",KWZ
"Komaco, Papua New Guinea",HOC
"Komatsu [Kanazawa], Japan",KMQ
"Komo-Manda, Papua New Guinea",KOM
"Komotini, Greece",ZKT
"Kompiam, Papua New Guinea",KPM
"Kompong-Chhnang, Cambodia",KZC
"Kompong-Thom, Cambodia",KZK
"Kompongsom, Cambodia",KOS
"Komsomolsk Na Amure, Khabarovsk, Russia",KXK
"Konawaruk, Guyana",KKG
"Kone, New Caledonia",KNQ
"Konge, Papua New Guinea",KGB
"Kongiganak, AK [Kongiganak Airport], USA",KKH
"Kongoboumba, Gabon",GKO
"Kongolo, Zaire",KOO
"Kono, Indonesia",KCI
"Konstanz, Germany",QKZ
"Kontum, Vietnam",KON
"Konya, Turkey",KYA
"Koolatah, Queensland, Australia",KOH
"Koolburra, Queensland, Australia",KKP
"Koonibba, South Australia, Australia",KQB
"Kopasker, Iceland",OPA
"Kopiago, Papua New Guinea",KPA
"Korhogo, Ivory Coast",HGO
"Korla, China",KRL
"Koro, Fiji",KXF
"Koroba, Papua New Guinea",KDE
"Korolevu, Fiji",KVU
"Koror [Babelthuap/Koror Airport], Palau",ROR
"Kortrijk [Kortrijk-Wevelgem], Belgium",KJK
"Kos, Kos Island, Greece",KGS
"Kosciusko, MS [Kosciusko-Attala County Airport], USA",OSX
"Kosice [Barca], Slovakia",KSC
"Kosipe, Papua New Guinea",KSP
"Kosrae Island [Kosrea Airport], Micronesia",KSA
"Kosti, Sudan",KST
"Koszalin, Poland",OSZ
"Kota Bharu, Malaysia",KBR
"Kota Kinabalu, East, Malaysia",BKI
"Kota, Ethiopia",OTA
"Kota, India",KTU
"Kotabangun, Indonesia",KOD
"Kotabaru, Indonesia",KBU
"Kotakoli, Zaire",KLI
"Kotlik, AK [Kotlik Airport], USA",KOT
"Kotzebue, AK [Ralph Wien Memorial Airport], USA",OTZ
"Koulamoutou, Gabon",KOU
"Koumac, New Caledonia",KOC
"Koumala, Central African Republic",KOL
"Koundara, Guinea",SBI
"Kourou, French Guyana",QKR
"Koutaba, Cameroon",KOB
"Koutiala, Mali",KTX
"Kouvola [Kymi], Finland",UTI
"Kowanyama, Queensland, Australia",KWM
"Koyuk, AK [Koyuk Airport], USA",KKA
"Koyukuk, AK [Koyukuk Airport], USA",KYU
"Kozani, Greece",KZI
"Krabi, Thailand",KBV
"Krakor, Cambodia",KZD
"Krakow [Balice], Poland",KRK
"Kramatorsk, Donets'k, Ukraine",KRQ
"Kramfors, Sweden",KRF
"Krasnodar, Krasnodar, Russia",KRR
"Krasnodovsk, Balkan, Turkmenistan",KRW
"Krasnoyarsk, Krasnoyarsk, Russia",KJA
"Kratie, Cambodia",KTI
"Krefeld, Germany",QKF
"Kremenchuk (Kremenchug), Poltava, Ukraine",KHU
"Kribi, Cameroon",KBI
"Kristiansand [Kjevik], Norway",KRS
"Kristianstad, Sweden",KID
"Kristiansund [Kvernberget], Norway",KSU
"Krivyy Rih (Krivoy Rog), Dnipropetrovs'k, Ukraine",KWG
"Ksar Es Souk, Morocco",SEK
"Kuala Belait, Brunei",KUB
"Kuala Lumpur, Peninsular [Subang], Malaysia",KUL
"Kuala Terengganu, Malaysia",TGG
"Kuantan, Malaysia",KUA
"Kubin Island, Australia",KUG
"Kuching, East, Malaysia",KCH
"Kudat, Sabah, Malaysia",KUD
"Kufrah, Libya",AKF
"Kuito, Angola",SVP
"Kukundu, Solomon Islands",KUE
"Kulgera, Northern Territory, Australia",KGR
"Kulik Lake, AK [Kulik Lake Airport], USA",LKK
"Kulu, India",KUU
"Kulusuk Island, Greenland",KUS
"Kumamoto, Japan",KMJ
"Kumasi, Ghana",KMS
"Kume Jima, Japan",UEO
"Kumgim, Papua New Guinea",KGM
"Kunduz, Afghanistan",UND
"Kung Kuan, Taiwan",VKK
"Kunming [Wujlaba], China",KMG
"Kunsan, South Korea",KUV
"Kununurra, Western Australia, Australia",KNX
"Kuopio, Finland",KUO
"Kuorevisi, Finland",KEV
"Kupang [Eltari], Indonesia",KOE
"Kuparuk, AK [Ugnu-Kuparuk Airport], USA",UUK
"Kupiano, Papua New Guinea",KUP
"Kuqa, China",KCA
"Kuran, Afghanistan",KUR
"Kurgan, Kurgan, Russia",KRO
"Kuri, Papua New Guinea",KUQ
"Kuria, Kiribati",KUC
"Kursk, Kursk, Russia",URS
"Kuruman, South Africa",KMH
"Kurundi, Northern Territory, Australia",KRD
"Kurupung, Guyana",KPG
"Kurwina, Solomon Islands",KWV
"Kusan [Air Base], South Korea",KUZ
"Kushimoto, Japan",KUJ
"Kushiro, Japan",KUH
"Kutaisi, Georgia",KUT
"Kuujjuaq (Fort Chimo), QC [Kuujjuaq (Fort Chimo) Airport], Canada",YVP
"Kuujjuarapik (Poste de la Baleine), QC Canada",YGW
"Kuusamo, Finland",KAO
"Kuwait, Kuwait",KWI
"Kwai Harbour, Solomon Islands",KWR
"Kwajalein [Bucholz Army Air Field/Kwajalein KMR], Marshall Islands",KWA
"Kwang Yun, South Korea",QUN
"Kwangju, South Korea",KWJ
"Kwethluk, AK [Kwethluk Airport], USA",KWT
"Kwigillingok, AK [Kwigillingok Seaplane Base], USA",KWK
"Kyaukpyu, Myanmar",KYP
"Kyauktaw, Myanmar",KYT
"Kyoto, Japan",UKY
"Kyyiv (Kiev), Kiev [Borispol], Ukraine",KBP
"Kyyiv (Kiev), Kiev [Zhulyany], Ukraine",IEV
"Kyzyl, Tuva, Russia",CMJ
"Kyzyl, Tuva, Russia",KYZ
"La Baule, France",LBY
"La Ceiba [Goloson], Honduras",LCE
"La Chorrera, Colombia",LCR
"La Coloma, Cuba",LCL
"La Coruna, Spain",LCG
"La Crosse, WI/Winona, MN [La Crosse Municipal Airport], USA",LSE
"La Desirade, Guadeloupe",DSD
"La Fria, Venezuela",LFR
"La Grande, OR [La Grande/Union County Airport], USA",LGD
"La Grande, QC [La Grande nr. 3 Airport], Canada",YAR
"La Grande, QC [La Grande nr. 4 Airport], Canada",YAH
"La Grande, QC [Riviere Airport], Canada",YGL
"La Grange, GA [Callaway Airport], USA",LGC
"La Guaira, Venezuela",LAG
"La Habana (Havana) [Aeropuerto Int'l Jose Marti], Cuba",HAV
"La Junta, CO [La Junta Municipal Airport], USA",LHX
"La Llagone, France",QZG
"La Macaza, QC [La Macaza Airport], Canada",YFJ
"La Munoza, Spain",QLM
"La Palma, Canary Islands, Spain",PLP
"La Paz [General Manuel M. de Leon], Mexico",LAP
"La Paz [J. F. Kennedy/El Alto], Bolivia",LPB
"La Pedrera, Colombia",LPD
"La Plagne, France",PLG
"La Plata [Aerodromo Tolosa], Argentina",LPG
"La Porte, IN [La Porte Municipal Airport], USA",LPO
"La Primavera, Colombia",LPE
"La Rioja [Capitan Vicente Almando], Argentina",IRJ
"La Roche, France",EDM
"La Rochelle [Laieu], France",LRH
"La Romana, Dominican Republic",LRM
"La Ronge, SK [La Ronge Airport], Canada",YVC
"La Sarre, QC [La Sarre Aerodrome], Canada",SSQ
"La Serena, Chile",LSC
"La Tabatiere, QC [La Tabatiere Water Aerodrome], Canada",ZLT
"La Touche, AK, USA",LTU
"La Tuque, QC [La Tuque Airport], Canada",YLQ
"La Union, Honduras",LUI
"La Verne, CA [Brackett Field], USA",POC
"Laarbruch, Germany",LRC
"Laayoune, Morocco",EUN
"Labamba, Gabon",WNQ
"Labasa, Fiji",LBS
"Labe, Guinea",LEK
"Laberal, Brazil",LBR
"Lablab, Papua New Guinea",LAB
"Labouchere Bay, AK, USA",WLB
"Labuan Bajo, Indonesia",LBJ
"Labuan, Sabah, Malaysia",LBU
"Labuha, Indonesia",LAH
"Lac Brochet, MB [Lac Brochet Airport], Canada",XLB
"Lac La Biche, AB [Lac La Biche Airport], Canada",YLB
"Lac La Martre, NT [Lac La Martre Aerodrome], Canada",YLE
"Laconia, NH [Laconia Municipal Airport], USA",LCI
"Lacumbre, Argentina",LCM
"Ladouanie, Suriname",LDO
"Lady Elliott Island, Australia",LYT
"Lady Franklin, NT [Lady Franklin Point Airport], Canada",YUJ
"Ladysmith, South Africa",LAY
"Ladysmith, WI [Rusk County Airport], USA",RCX
"Lae [City Airport], Papua New Guinea",LAC
"Lae [Nadzab Airport], Papua New Guinea",LAE
"Lae Island, Marshall Islands",LML
"Lafayette, IN [Purdue University Airport], USA",LAF
"Lafayette, LA [Lafayette Regional Airport], USA",LFT
"Lages, SC, Brazil",LAJ
"Laghouat, Algeria",LOO
"Lago Agrio, Ecuador",LGQ
"Lagos [Murtala Muhammed], Nigeria",LOS
"Lagos de Moreno, Mexico",LOM
"Lagunillas, Venezuela",LGY
"Lahad Datu, Sabah, Malaysia",LDU
"Lahore, Pakistan",LHE
"Lahr, Germany",LHA
"Lai, Chad",LTC
"Laiagam, Papua New Guinea",LGM
"Lajeado, RS, Brazil",QLB
"Lake Baringo, Kenya",LBN
"Lake Charles, LA [Chennault Industrial Airpark], USA",CWF
"Lake Charles, LA [Lake Charles Regional Airport], USA",LCH
"Lake Evella, Northern Territory, Australia",LEL
"Lake Geneva, WI [Lake Geneva Aire Estates Airport], USA",XES
"Lake Harbour, NT [Lake Harbour Airport], Canada",YLC
"Lake Havasu City, AZ [Lake Havasu City Airport], USA",HII
"Lake Havasu City, AZ, USA",LHU
"Lake Manyara, Tanzania",LKY
"Lake Minchumina, AK, USA",LMA
"Lake Murray, Papua New Guinea",LMY
"Lake Nash, Northern Territory, Australia",LNH
"Lake Placid, NY [Lake Placid Airport], USA",LKP
"Lake Rudolf, Kenya",LKU
"Lake Tahoe (South Lake Tahoe), CA [Lake Tahoe Airport], USA",TVL
"Lakeba, Fiji",LKB
"Lakefield, Queensland, Australia",LFP
"Lakehurst, NJ [Lakehurst NAES (Maxfield Field)], USA",NEL
"Lakeland Downs, Australia",LKD
"Lakeland, FL [Lakeland Regional Airport], USA",LAL
"Lakenheath, United Kingdom",XLK
"Lakeside, TX, USA",LKS
"Lakeview, OR [Lake County Airport], USA",LKV
"Lakselv [Banak], Norway",LKL
"Lalibella, Ethiopia",LLI
"Lalmonirhat, Bangladesh",LLJ
"Lalomalava, Western Samoa",LAV
"Lamap, Vanuatu",LPM
"Lamar, CO [Lamar Municipal Airport], USA",LAA
"Lamar, MO [Lamar Municipal Airport], USA",LLU
"Lamassa, Papua New Guinea",LMG
"Lambarene, Gabon",LBQ
"Lamen Bay, Vanuatu",LNB
"Lamezia Terme, Italy",SUF
"Lamidanda, Nepal",LDN
"Lampang, Thailand",LPT
"Lampedusa, Lampedusa Island, Italy",LMP
"Lamu [Mwana], Kenya",LAU
"Lanai City, HI [Lanai Airport], USA",LNY
"Lancaster, CA [Quartz Hill], USA",RZH
"Lancaster, PA [Lancaster Airport], USA",LNS
"Lancaster/Palmdale, CA [General William J. Fox Airfield], USA",WJF
"Land O'Lakes, WI [Kings Land O'Lakes Airport], USA",LNL
"Lander, WY [Hunt Field], USA",LND
"Lands End, England [St. Just Airport], United Kingdom",LEQ
"Landshot, Germany",QLG
"Langara, BC, Canada",YLA
"Langeoog, Germany",LGO
"Langgur/Tual, Indonesia",LUV
"Langimar, Papua New Guinea",LNM
"Langkawi, Malaysia",LGK
"Langtang, Nepal",LTG
"Lannion, France",LAI
"Lansdowne House, ON [Lansdowne House Airport], Canada",YLH
"Lansdowne Station, Western Australia, Australia",LDW
"Lanseria, South Africa",HLA
"Lansing, MI [Capital City Airport], USA",LAN
"Lanzhou [Zhongchuan], China",LHW
"Lanzhou [Zhongchuan], China",ZGC
"Laoag, Philippines",LAO
"Lappeenranta, Finland",LPP
"Lapu-Lapu, Mactan Island [Mactan International Airport], Philippines",NOP
"Laramie, WY [Laramie Regional Airport], USA",LAR
"Larantuka, Indonesia",LKA
"Laredo, TX [Laredo International Airport], USA",LRD
"Larisa, Greece",LRA
"Larkana, Pakistan",LKW
"Larnaca, Cyprus",LCA
"Larned, KS [Larned-Pawnee County Airport], USA",LQR
"Larsen Bay, AK [Larsen Bay Airport], USA",KLN
"Las Canas, Costa Rica",LCS
"Las Cruces, NM [Las Cruces International Airport], USA",LRU
"Las Gaviotas, Colombia",LGT
"Las Heras, Argentina",LHS
"Las Koreh, Somalia",LKR
"Las Limas, Honduras",LLH
"Las Lomitas, Argentina",LLS
"Las Palmas/Gran Canaria, Canary Islands, Spain",LPA
"Las Piedras, Venezuela",LSP
"Las Tunas, Cuba",VTU
"Las Vegas, NM [Las Vegas Municipal Airport], USA",LVS
"Las Vegas, NV [McCarran International Airport], USA",LAS
"Las Vegas, NV [Nellis Air Force Base], USA",LSV
"Las Vegas, NV [North Las Vegas Air Terminal], USA",VGT
"Las Vegas, NV [Sky Harbor Airport], USA",HSH
"Lashio, Myanmar",LSH
"Lastourville, Gabon",LTL
"Latakia, Syria",LTK
"Lathrop Wells, NV, USA",LTH
"Latina, Italy",QLT
"Latrobe, Australia",LTB
"Latrobe, PA [Westmoreland County Airport], USA",LBE
"Laucala Island, Fiji",LUC
"Launceston, Tasmania, Australia",LST
"Laura Station, Queensland, Australia",LUT
"Laura, Queensland, Australia",LUU
"Laurel, MS [Hesler-Noble Field], USA",LUL
"Laurel/Hattiesburg, MS [Hattiesburg-Laurel Regional Airport], USA",PIB
"Lauribe, Colombia",LAT
"Laurie River, MB [Laurie River Aerodrome], Canada",LRQ
"Lausanne [Lausanne-La Blecherette], Switzerland",QLS
"Lauterach, Austria",QLX
"Laval, France",LVA
"Laverton, Western Australia, Australia",LVO
"Lavras, MG, Brazil",QLW
"Lawas, Sarawak, Malaysia",LWY
"Lawn Hill, Queensland, Australia",LWH
"Lawrence, KS [Lawrence Municipal Airport], USA",LWC
"Lawrence, KS, USA",LMC
"Lawrence, MA [Lawrence Municipal Airport], USA",LWM
"Lawrenceville, GA [Gwinnett County Airport-Briscoe Field], USA",LZU
"Lawrenceville, IL [Lawrenceville-Vincennes], USA",LWV
"Lawrenceville, VA [Brunswick Municipal Airport], USA",LVL
"Lawton, OK [Lawton Municipal Airport], USA",LAW
"Lazaro Cardenas, Mexico",LZC
"Le Castellet, France",CTT
"Le Havre [Octeville], France",LEH
"Le Mans, France",LME
"Le Mars, IA [Le Mars Municipal Airport], USA",LRJ
"Le Puy, France",LPY
"Le Touquet [Paris-Plage], France",LTQ
"Leadville, CO [Lake County Airport], USA",LXV
"Leaf Rapids, MB [Leaf Rapids Airport], Canada",YLR
"Learmouth (Exmouth), Western Australia, Australia",LEA
"Lebakeng, Lesotho",LEF
"Lebanon, NH [Lebanon Municipal Airport], USA",LEB
"Lebel-sur-Quevillon, QC [Lebel-sur-Quevillon Aerodrome], Canada",YLS
"Lecce, Italy",LCC
"Leconi, Gabon",LEO
"Leeds/Bradford, United Kingdom",LBA
"Leesburg, FL [Leesburg Municipal Airport], USA",LEE
"Leesburg, VA [Leesburg Municipal Airport/Godfrey Field], USA",JYO
"Leeton, New South Wales, Australia",QLE
"Leeuwarden, Netherlands",LWR
"Legaspi, Philippines",LGP
"Leguizamo, Colombia",LGZ
"Leh, India",IXL
"Lehu, Papua New Guinea",LHP
"Leigh Creek, South Australia, Australia",LGH
"Leinster, Western Australia, Australia",LER
"Leipzig [Schkeuditz], Germany",LEJ
"Leitre, Papua New Guinea",LTF
"Lekana, Congo",LKC
"Leknes, Norway",LKN
"Lelystad, Netherlands",LEY
"Lemmon, SD [Lemmon Municipal Airport], USA",LEM
"Lemnos (Limnos), Greece",LXS
"Lemoore, CA [Lemoore Naval Air Station (Reeves Field)], USA",NLC
"Lengbati, Papua New Guinea",LNC
"Leo, Burkina Faso",XLU
"Leon [Aeropuero de Bajio], Mexico",LEN
"Leon [Guanajuato], Mexico",BJX
"Leonardtown, MD [St. Mary's County Airport], USA",LTW
"Leonora, Western Australia, Australia",LNO
"Leopoldina, MG, Brazil",LEP
"Lereh, Indonesia",LHI
"Leribe, Lesotho",LRB
"Leros, Greece",LRS
"Lerwick, Shetland Islands [Scatsa], United Kingdom",SCS
"Lerwick, Shetland Islands [Sumburgh], United Kingdom",LSI
"Lerwick, Shetland Islands [Tingwall], United Kingdom",LWK
"Les Cayes, Haiti",CYA
"Les Sables, France",LSO
"Les Saintes/Terre de Haut, Guadeloupe",LSS
"Lese, Papua New Guinea",LNG
"Lesobeng, Lesotho",LES
"Lethbridge, AB [Lethbridge Airport], Canada",YQL
"Lethem, Guyana",LTM
"Leticia [Vasquez Cobo], Colombia",LET
"Levelock, AK [Levelock Airport], USA",KLL
"Lewiston, ID [Lewiston-Nez Perce County Airport], USA",LWS
"Lewistown, MT [Lewistown Municipal Airport], USA",LWT
"Lewoleba, Indonesia",LWE
"Lexington Blue Grass Depot, KY [Creech Army Air Field], USA",LSD
"Lexington, KY [Blue Grass Airport], USA",LEX
"Lexington, NC [Lexington Municipal Airport], USA",EXX
"Lexington, NE [Jim Kelly Field], USA",LXN
"Lexington, OK [Muldrow Airfield Heliport], USA",HMY
"Lhasa, China",LXA
"Lhok Sukon, Indonesia",LSX
"Lhokseumawe, Indonesia",LSW
"Lianyungang (Xinpu), China",LYG
"Liard River, BC [Liard River Airport], Canada",YZL
"Libenge, Zaire",LIE
"Liberal, KS [Liberal Municipal Airport], USA",LBL
"Liberia [Tomas Guardia], Costa Rica",LIR
"Liboi, Kenya",LBK
"Libreville [Leon M'Ba], Gabon",LBV
"Lichinga (Vila Cabral), Mozambique",VXC
"Lidkoping, Sweden",LDK
"Liege (Luttich) [Bierset], Belgium",LGG
"Liepaja, Latvia",LPX
"Lifou (Lifu), Loyalty Islands, New Caledonia",LIF
"Lightning Ridge, New South Wales, Australia",LHG
"Lihue, HI [Lihue Airport], USA",LIH
"Likiep, Marshall Islands",LIK
"Likoma Island, Malawi",LIX
"Lilabari, India",IXI
"Lille [Lesquin], France",LIL
"Lilongwe [Kamuzu International], Malawi",LLW
"Lima [Aeropuerto Internacional Jorge Chavez], Peru",LIM
"Lima, OH [Lima Allen County Airport], USA",AOH
"Lima, OH, USA",LIA
"Limassol, Cyprus",QLI
"Limbang, Sarawak, Malaysia",LMN
"Limbunya, Northern Territory, Australia",LIB
"Lime Acres, South Africa",LMR
"Lime Village, AK [Lime Village Airport], USA",LVD
"Limerick, Ireland",LMK
"Limestone, ME [Loring Air Force Base], USA",LIZ
"Limoges [Bellegarde], France",LIG
"Limon, CO [Limon Municipal Airport], USA",LIC
"Limon, Costa Rica",LIO
"Limon, Honduras",LMH
"Lincoln River, AK, USA",LRK
"Lincoln, NE [Lincoln Municipal Airport], USA",LNK
"Lincoln, NE USA",AYJ
"Linda Downs, Australia",LLP
"Lindeman Island, Queensland, Australia",LDC
"Linden, NJ [Linden Airport], USA",LDJ
"Lindi, Tanzania",LDI
"Linga Linga, Papua New Guinea",LGN
"Linkoping, Sweden",LPI
"Lins, SP, Brazil",LIP
"Linz [Horsching], Austria",LNZ
"Lipetsk, Lipetsk, Russia",LPK
"Lisala, Zaire",LIQ
"Lisboa (Lisbon) [Aeroporto da Portela de Sacavem], Portugal",LIS
"Lishan, Taiwan",LHN
"Lismore, Queensland, Australia",LSY
"Lissadel, Western Australia, Australia",LLL
"Little America, UT, USA",XLA
"Little Cayman, Cayman Islands",LYB
"Little Diomede Island, AK, USA",DIO
"Little Falls, MN [Little Falls-Morrison County Airport], USA",LXL
"Little Grand Rapids, MB [Little Grand Rapids Airport], Canada",ZGR
"Little Naukati, AK, USA",WLN
"Little Port Walker, AK, USA",LPW
"Little Rock, AR [Adams Field], USA",LIT
"Liuzhou, China",LZH
"Livermore, CA [Livermore Municipal Airport], USA",LVK
"Liverpool, England [Speke Airport], United Kingdom",LPL
"Liverpool, NS [Liverpool Airport], Canada",YAU
"Livingood, AK, USA",LIV
"Livingston, MT [Mission Field], USA",LVM
"Livingstone (Maramba), Zambia",LVI
"Lizard Island, Queensland, Australia",LZR
"Ljubljana [Brnik], Slovenia",LJU
"Lloydminster, AB [Lloydminster Airport], Canada",YLL
"Lo Tung, Taiwan",LOB
"Loani, Papua New Guinea",LNQ
"Lobatze, Botswana",LOQ
"Locarno, Switzerland",ZJI
"Lochgilphead, United Kingdom",LPH
"Lock Haven, PA [William T. Piper Airport], USA",LHV
"Lock, South Australia, Australia",LOC
"Lockhart Rivers, Queensland, Australia",IRG
"Lockport/Chicago/Romeoville, IL [Lewis University Airport], USA",JLK
"Lockport/Chicago/Romeoville, IL [Lewis University Airport], USA",LOT
"Lodar, Yemen",LDR
"Lodja, Zaire",LJA
"Lodwar, Kenya",LOK
"Loei, Thailand",LOE
"Loen, Norway",LOF
"Logan, UT [Logan-Cache Airport], USA",LGU
"Logansport, IN [Logansport Municipal Airport], USA",GGP
"Loikaw, Myanmar",LIW
"Loja, Ecuador",LOH
"Lolyangalani, Kenya",LOY
"Lome [Tokoin], Togo",LFW
"Lompoc, CA [Lompoc Airport], USA",LPC
"Lompoc, CA [Vandenberg Air Force Base], USA",VBG
"Londolovit, Papua New Guinea",LNV
"London [Stansted], United Kingdom",STN
"London, England [City Airport], United Kingdom",LCY
"London, England [Gatwick Airport], United Kingdom",LGW
"London, England [Heathrow Airport], United Kingdom",LHR
"London, England [Luton Airport], United Kingdom",LTN
"London, England [Metropolitan Area], United Kingdom",LON
"London, KY [London-Corbin Airport/Magee Field], USA",LOZ
"London, OH [Madison County Airport], USA",UYF
"London, ON [London Airport], Canada",YXU
"Londonderry, Northern Ireland [Eglinton Airport], United Kingdom",LDY
"Londrina, PR, Brazil",LDB
"Londrore, Vanuatu",LNE
"Lone Rock, WI [Tri-County Regional Airport], USA",LNR
"Lonely, AK [Lonely AFS], USA",LNI
"Long Apung, Indonesia",LPU
"Long Beach, CA [Long Beach Airport (Daugherty Field)], USA",LGB
"Long Beach, CA [NAA Long Beach Port Helistop], USA",JLB
"Long Island (Farmingdale), NY [Republic Airport], USA",FRG
"Long Island, AK, USA",LIJ
"Long Lama, Malaysia",LLM
"Long Lellang, Malaysia",LGL
"Long Paisa, Sabah, Malaysia",GSA
"Long Semado, Sarawak, Malaysia",LSM
"Long Seridan, Sarawak, Malaysia",ODN
"Long Sukang, Malaysia",LSU
"Long Xuyen, Vietnam",XLO
"Longana, Vanuatu",LOD
"Longbawan, Indonesia",LBW
"Longpoint Lake, ON [Longpoint Lake Water Aerodrome], Canada",YLX
"Longreach, Queensland, Australia",LRE
"Longstaff Bluff, NT [Longstaff Bluff Airport], Canada",YUV
"Longview, TX [Gregg County Airport], USA",GGG
"Longview, WA, USA",LOG
"Lopez de Micay, Colombia",LMX
"Lopez, WA [Lopez Island Airport], USA",LPS
"Loque, Congo",LCO
"Lora Lai, Pakistan",LRG
"Lord Howe Island, New South Wales, Australia",LDH
"Lordsburg, NM [Lordsburg Municipal Airport], USA",LSB
"Loreto, Mexico",LTO
"Lorica, Colombia",LRI
"Lorient [Lann-Bihouet], France",LRT
"Loring, AK [Loring Seaplane Base], USA",WLR
"Lorrach, Germany",QLO
"Lorraine, Queensland, Australia",LOA
"Los Alamos, NM [Los Alamos Airport], USA",LAM
"Los Angeles (City of Industry), Heliport, USA",JID
"Los Angeles, CA [Commerce Business Park Heliport], USA",JBP
"Los Angeles (Van Nuys), CA [Van Nuys Airport], USA",VNY
"Los Angeles, CA [Century City Heliport], USA",CCD
"Los Angeles, CA [Citicorp Heliport], USA",JCX
"Los Angeles, CA [Los Angeles International Airport], USA",LAX
"Los Angeles, CA [Metropolitan Area], USA",QLA
"Los Angeles, CA [Sherman Oaks Community Hospital Heliport], USA",JSN
"Los Angeles, CA [Union], USA",JLX
"Los Angeles, CA [Universal Studios], USA",JUC
"Los Angeles, CA [Warner Brothers Studios], USA",JWC
"Los Angeles, CA [Whiteman Airport], USA",WHP
"Los Angeles, Chile",LSQ
"Los Banos, CA [Los Banos Municipal Airport], USA",LSN
"Los Cabos (San Jose del Cabo), Mexico",SJD
"Los Chiles, Costa Rica",LSL
"Los Menucos, Argentina",LMD
"Los Mochis, Mexico",LMM
"Los Roques, Venezuela",LRV
"Losinj, Croatia",LSZ
"Lost Harbor, AK, USA",LHB
"Lost River, AK [Lost River 1 Airport], USA",LSR
"Losuia, Papua New Guinea",LSA
"Lotusvale, Queensland, Australia",LTV
"Louis Trichardt, South Africa",LCD
"Louisa, VA [Louisa County Airport/Freeman Field], USA",LOW
"Louisburg, NC [North Raleigh Airport], USA",LFN
"Louisville, KY [Bowman Field], USA",LOU
"Louisville, KY [Inter Continental Airport], USA",LJC
"Louisville, KY [Standiford Field], USA",SDF
"Louisville, MS [Louisville-Winston County Airport], USA",LMS
"Lourdes/Tarbes [Ossun], France",LDE
"Loveland, CO, USA",LLD
"Lovelock, NV [Derby Field], USA",LOL
"Lowai, Papua New Guinea",LWI
"Luabo, Mozambique",LBM
"Luanda [Aeroporto 4 de Fevereiro (Belas)], Angola",LAD
"Luang Namtha, Laos",LXG
"Luang Prabang, Laos",LPQ
"Luau, Angola",UAL
"Lubango (Sa da Bandeira), Angola",SDD
"Lubbock, TX [Lubbock International Airport], USA",LBB
"Lubbock, TX [Reese Air Force Base], USA",REE
"Lubumbashi [Luano], Zaire",FBM
"Lucca, Italy",LCV
"Lucenec, Slovakia",LUE
"Lucerne, Switzerland",QLJ
"Lucknow, India",LKO
"Ludhiana, India",LUH
"Ludington, MI [Mason County Airport], USA",LDM
"Luebeck (Lubeck), Germany",LBC
"Luederitz (Luderitz), Namibia",LUD
"Luena (Luso), Angola",LUO
"Lufkin, TX [Angelina County Airport], USA",LFK
"Lugano [Agno], Switzerland",LUG
"Lugh Ganane, Somalia",LGX
"Luhansk, Luhansk, Ukraine",VSG
"Luiza, Zaire",LZA
"Lukla, Nepal",LUA
"Lukulu, Zambia",LXU
"Lulea [Kallax], Sweden",LLA
"Lumbala, Angola",GGC
"Lumberton, NC [Lumberton Municipal Airport], USA",LBT
"Lumi, Papua New Guinea",LMI
"Lumid Pau, Guyana",LUB
"Lunyuk, Indonesia",LYK
