Cities	Countries	Abbr	
Milford	 UT [Milford Municipal Airport]	MLF	
Mili Island [Mili Airport]	 Marshall Islands	MIJ	
Milledgeville	 GA [Baldwin County Airport]	MLJ	
Millicent	 South Australia	MLR	
Millingimbi	 Northern Territory	MGT	
Millington	 TN [Memphis Naval Air Station]	NQA	
Millinocket	 ME [Millinocket Municipal Airport]	MLT	
Millville	 NJ [Millville Municipal Airport]	MIV	
Milos	 Greece	MLO	
Milton Keynes	 United Kingdom	KYN	
Milton	 FL [Choctaw Naval Outlying Field]	NFJ	
Milton	 FL [Whiting Field Navalk Air Station-North]	NSE	
Milwaukee	 WI [General Mitchell International Airport]	MKE	
Milwaukee	 WI [Lawrence J. Timmerman Airport]	MWC	
Minacu	 Brazil	MQH	
Minaki	 ON [Minaki Aerodrome]	YMI	
Minalton	 South Australia	XML	
Minami Daito Jima	 Okinawa	MMD	
Minatitlan	 Mexico	MTT	
Minchumina	 AK [Minchumina Airport]	MHM	
Minden	 NV [Douglas County Airport]	MEV	
Mindik	 Papua New Guinea	MXK	
Mindiptana	 Indonesia	MDP	
Mineral Wells	 TX [Fort Wolter Army Air Field]	CWO	
Mineral Wells	 TX [Mineral Wells Airport]	MWL	
Mineralniye Vody	 Stavropol	MRV	
Miners Bay	 BC	YAV	
Miners Lake	 Australia	MRL	
Mingan	 QC [Mingan Airport]	YLP	
Minj	 Papua New Guinea	MZN	
Minna	 Nigeria	MXJ	
Minneapolis	 MN [Crystal Airport]	MIC	
Minneapolis	 MN [Downtown Heliport]	JDT	
Minneapolis	 MN [Flying Cloud Airport]	FCM	
Minneapolis/St. Paul	 MN USA	MSP	
Minneriya	 Sri Lanka	MNH	
Minnipa	 South Australia	MIN	
Minocqua/Woodruff	 WI USA	ARV	
Minot	 ND [Minot Air Force Base]	MIB	
Minot	 ND [Minot International Airport]	MOT	
Minsk	 Minsk [Loshitsa]	MSQ	
Minto	 AK [Minto Airport]	MNT	
Minvoul	 Gabon	MVX	
Miquelon	 St. Pierre & Miquelon	MQC	
Miracema do Norte	 GO	NTM	
Miraflores	 Colombia	MFS	
Miramar	 Argentina	MJR	
Miranda Downs	 Queensland	MWY	
Mirgorod	 Poltava	MXR	
Miri	 Sarawak	MYY	
Miriti	 Colombia	MIX	
Mirnyy	 Yakutia-Sakha	MJZ	
Mirpur Khas	 Pakistan	MPD	
Mirpur	 Pakistan	QML	
Misawa	 Japan	MSJ	
Misima	 Papua New Guinea	MIS	
Miskolc	 Hungary	MCQ	
Missoula	 MT [Missoula International Airport]	MSO	
Misurata	 Libya	MRA	
Mitchell Plateau	 Australia	MIH	
Mitchell River	 Australia	MXQ	
Mitchell	 Queensland	MTQ	
Mitchell	 SD [Mitchell Municipal Airport]	MHE	
Mitiaro	 Cook Islands	MOI	
Mitspeh Ramona	 Israel	MIP	
Mitu	 Colombia	MVP	
Mitzic	 Gabon	MZC	
Miyake Jima	 Japan	MYE	
Miyako Jima	 Ryuku	MMY	
Miyanmin	 Papua New Guinea	MPX	
Miyazaki	 Japan	KMI	
Mizan Teferi	 Ethiopia	MTF	
Mkambati	 South Africa	MBM	
Mkuze	 South Africa	MZQ	
Mmabatho	 Bophuthatswana [International]	MBD	
Mo i Rana [Rossvoll]	 Norway	MQN	
Moa	 Cuba	MOA	
Moab	 UT [Canyonlands Field]	CNY	
Moabi	 Gabon	MGX	
Moala	 Fiji	MFJ	
Moanamani	 Indonesia	ONI	
Moanda	 Gabon	MFF	
Moanda	 Zaire	MNB	
Moba	 Zaire	BDV	
Moberly	 MO [Omar N. Bradley Airport]	MBY	
Mobile	 AL [Bates Field]	MOB	
Mobile	 AL [Mobile Downtown Airport]	BFM	
Mobridge	 SD [Mobridge Municipal Airport]	MBG	
Mocimboa da Praia	 Mozambique	MZB	
Mococa	 SP	QOA	
Modesto	 CA [County Airport-Harry Sham Field]	MOD	
Moenchengladbach (Monchengladbach)	 Germany	MGL	
Moenjodaro (Mohenjo Daro)	 Pakistan	MJD	
Mogadishu (Mogadiscio) [Petrella]	 Somalia	MGQ	
Mogi das Crazes	 SP	QMI	
Mohanbari	 India	MOH	
Moheli	 Comoros	NWA	
Mojave	 CA [Mojave Airport]	MHV	
Mokhotlong	 Lesotho	MKH	
Moki	 Papua New Guinea	MJJ	
Mokpo	 South Korea	MPK	
Mokuleia	 HI [Dillingham Air Force Base]	HDH	
Mokuti	 Namibia	OKU	
Molde [Aro]	 Norway	MOL	
Moline	 IL [Quad-City Airport]	MLI	
Molokai/Hoolehua (Kaunakakai)	 HI [Molokai Airport]	MKK	
Moma	 Mozambique	MMW	
Mombasa [Moi International]	 Kenya	MBA	
Momeik	 Myanmar	MOE	
Mompus	 Colombia	MMP	
Monahans	 TX [Roy Hurd Memorial Airport]	MIF	
Monastir [Skanes]	 Tunisia	MIR	
Monbetsu	 Japan	MBE	
Monclova	 Mexico	LOV	
Moncton	 NB [Moncton Airport]	YQM	
Monfort	 Colombia	MFB	
Monghsat	 Myanmar	MOG	
Mongo	 Chad	MVO	
Mongu	 Zambia	MNR	
Monkey Island	 Malawi	MYZ	
Monkey Mia	 Western Australia	MJK	
Monkey Mountain	 Guyana	MYM	
Monkira	 Queensland	ONR	
Mono	 Solomon Islands	MNY	
Monroe	 LA [Monroe Regional Airport]	MLU	
Monroe	 NC [Monroe Airport]	EQY	
Monroeville	 AL [Monroe County Airport]	MVC	
Monrovia [Roberts Field]	 Liberia	ROB	
Monrovia [Spriggs Payne]	 Liberia	MLW	
Mons	 Belgium	QMO	
Mont-Joli	 QC [Mont-Joli Airport]	YYY	
Montague Harbor	 BC	YMF	
Montague	 CA [Siskiyou County Airport]	SIY	
Montauk	 NY [Montauk Airport]	MTP	
Monte Alegre	 PA	MTE	
Monte Carlo	 Monaco	MCM	
Monte Dourado	 Brazil	MEU	
Monte Libano	 Colombia	MTB	
Montego Bay [Sangster]	 Jamaica	MBJ	
Montenegro	 RS	QGF	
Montepuez	 Mozambique	MTU	
Monterey	 CA [Monterey Peninsula Airport]	MRY	
Monteria	 Colombia	MTR	
Monterrey [Aeropuerto General Mariano Escobedo]	 Mexico	MTY	
Monterrey [Aeropuerto Internacional del Norte]	 Mexico	NTR	
Monterrey	 Colombia	MOY	
Montes Caseros	 Argentina	MCS	
Montes Claros	 MG	MOC	
Montevideo [Carrasco]	 Uruguay	MVD	
Montevideo	 MN [Montevideo-Chippewa County Airport]	MVE	
Montgomery	 AL [Dannelly Field]	MGM	
Montgomery	 AL [Gunter Air Force Base]	GUN	
Montgomery	 AL [Maxwell Air Force Base]	MXF	
Montgomery	 AL USA	DMF	
Montgomery	 NY [Orange County Airport]	MGJ	
Monticello	 IA [Monticello Municipal Airport]	MXO	
Monticello	 KY [Wayne County Airport]	EKQ	
Monticello	 NY [Sullivan County International Airport]	MSV	
Monticello	 UT [San Juan County Airport]	MXC	
Montlucon	 France	MCU	
Monto	 Queensland	MNQ	
Montpellier [Mediteranee/Frejorgues]	 France	MPL	
Montreal	 QC [Dorval International Airport]	YUL	
Montreal	 QC [Metropolitan Area]	YMQ	
Montreal	 QC [Mirabel International Airport]	YMX	
Montreal	 QC [St.-Hubert Airport]	YHU	
Montreal	 QC [Victoria STOLport]	YMY	
Montreux	 Switzerland	ZJP	
Montrose	 CO [Montrose Regional Airport]	MTJ	
Montserrat (Plymouth) [Blackburne]	 Montserrat	MNI	
Moolawatana	 South Australia	MWT	
Moomba	 Australia	MOO	
Moorabbin	 Victoria [Moorabbin Airport]	MBW	
Mooraberrie	 Queensland	OOR	
Moorea	 Society Islands	MOZ	
Moose Jaw	 SK [Moose Jaw Airport]	YMJ	
Moosonee	 ON [Moosonee Airport]	YMO	
Mopti [Barbe]	 Mali	MZI	
Mora [Siljan]	 Sweden	MXX	
Morafenobe	 Madagascar	TVA	
Moranbah	 Queensland	MOV	
Morawa	 Western Australia	MWB	
Mordak	 Australia	MRT	
Moree	 New South Wales	MRZ	
Morehead	 Papua New Guinea	MHY	
Morelia	 Mexico	MLM	
Moreton	 Queensland	MET	
Morganton	 NC [Morganton-Lenoir Airport]	MRN	
Morgantown	 WV USA	MGW	
Morichal	 Colombia	MHF	
Morioka [Hanamaki]	 Japan	HNA	
Morioka	 Japan	MRW	
Morlaix [Plaujean]	 France	MXN	
Morney Plains	 Queensland	OXY	
Mornington Island	 Queensland	ONG	
Morobe	 Papua New Guinea	OBM	
Morombe	 Madagascar	MXM	
Moron de la Frontera [Moron Air Base]	 Spain	OZP	
Morondava	 Madagascar	MOQ	
Moroni [Hahaya/Iconi]	 Comoros	YVA	
Moroni [Hahaya]	 Comoros	HAH	
Morotai Island	 Indonesia	OTI	
Morrilton	 AR [Petit Jean Park]	MPJ	
Morris	 MN [Morris Municipal Airport]	MOX	
Morristown	 NJ [Morristown Municipal Airport]	MMU	
Morristown	 TN [Moore-Murrell Airport]	MOR	
Morrisville/Stowe	 VT [Morrisville-Stowe State Airport]	MVL	
Moruya	 New South Wales	MYA	
Moscow (Moskva)	 Moscow [Bykovo]	BKA	
Moscow (Moskva)	 Moscow [Domodemovo]	DME	
Moscow (Moskva)	 Moscow [Metropolitan Area]	MOW	
Moscow (Moskva)	 Moscow [Sheremetyevo 2]	SVO	
Moscow (Moskva)	 Moscow [Vnukovo]	VKO	
Moscow	 MS [Joe Williams Naval Outlying Field]	NJW	
Moser Bay	 AK [Moser Bay Seaplane Base]	KMY	
Moses Lake	 WA [Grant County Airport]	MWH	
Moses Lake	 WA [Larson Air Force Base]	LRN	
Moshi	 Tanzania	QSI	
Mosjoen	 Norway	MJF	
Mosquera	 Colombia	MQR	
Moss Town	 Exuma [Exuma International]	MWX	
Mossel Bay	 South Africa	MZY	
Mossoro	 RN	MVF	
Mostar	 Bosnia-Herzegovina	OMO	
Mosteiros	 Cape Verde	MTI	
Mostyn	 Malaysia	MZS	
Mosul	 Iraq	OSM	
Mota Lava	 Vanuatu	MTV	
Motueka	 New Zealand	MZP	
Moudjeria	 Mauritania	MOM	
Mougulu	 Papua New Guinea	GUV	
Mouila	 Gabon	MJL	
Mould Bay	 NT [Mould Bay Airport]	YMD	
Moultrie	 GA [Moultrie Municipal Airport]	MGR	
Moultrie	 GA [Spence Airport]	MUL	
Moundou	 Chad	MQQ	
Mount Aue	 Papua New Guinea	UAE	
Mount Barnett	 Western Australia	MBN	
Mount Carmel	 IL [Mount Carmel Municipal Airport]	AJG	
Mount Clemens	 MI [Detroit Naval Air Facility]	NFB	
Mount Clemens	 MI [Selfridge Air National Guard Base]	MTC	
Mount Cook [Glentan]	 New Zealand	GTN	
Mount Cook	 New Zealand	MON	
Mount Gambier	 South Australia	MGB	
Mount Gunson	 South Australia	GSN	
Mount Holly	 NJ [South Jersey Regional Airport]	LLY	
Mount Hotham	 Victoria	MHU	
Mount Isa	 Queensland	ISA	
Mount Magnet	 Western Australia	MMG	
Mount Pleasant	 Falkland Islands	MPN	
Mount Pleasant	 IA [Mount Pleasant Municipal Airport]	MPZ	
Mount Pleasant	 MI [Mount Pleasant Municipal Airport]	MOP	
Mount Pleasant	 TX [Mount Pleasant Municipal Airport]	MPS	
Mount Pleasant	 UT [Mount Pleasant Airport]	MSD	
Mount Pocono	 PA [Pocono Mountains Municipal Airport]	MPO	
Mount Shasta	 CA	MHS	
Mount Union	 PA [Huntingdon County Airport]	MUU	
Mount Vernon	 IL [Mount Vernon Airport]	MVN	
Mount Vernon	 WA [Barker Airport]	MVW	
Mount Wilson	 CA	MWS	
Mountain Home	 AR [Baxter County Regional Airport]	WMH	
Mountain Home	 ID [Mountain Home Air Force Base]	MUO	
Mountain Valley	 Australia	MNV	
Mountain View	 CA [Moffett Field Naval Air Station]	NUQ	
Mountain Village	 AK [Mountain Village Airport]	MOU	
Mountain	 Nepal	MWP	
Moutiers	 France	QMU	
Mouyondzi	 Congo	MUY	
Moyale	 Ethiopia	MYS	
Moyale	 Kenya	OYL	
Moyo	 Uganda	OYG	
Moyobamba	 Peru	MBP	
Mpacha	 Namibia	MPA	
Mt. Buffalo	 Australia	MBF	
Mt. Cavenagh	 Northern Territory	MKV	
Mt. Full Stop	 Australia	MFL	
Mt. Goldworthy	 Western Australia	GLY	
Mt. Hagen	 Papua New Guinea	HGU	
Mt. House	 Western Australia	MHO	
Mt. Sanford	 Northern Territory	MTD	
Mt. Swan	 Northern Territory	MSF	
Mtwara	 Tanzania	MYW	
Muccan	 Western Australia	MUQ	
Mucuri	 BA	MVS	
Mudanjiang	 China	MDG	
Mudgee	 New South Wales	DGE	
Muenchen (Munchen	Munich) [Franz Josef Strauss]	MUC	
Muenchen (Munchen	Munich) [Neubieberg Air Base]	MIG	
Muenster (Munster) [Greven]	 Germany	MSR	
Muenster (Munster)/Osnabrueck (Osnabruck) [Greven]	 Germany	FMO	
Mueo	 New Caledonia	PDC	
Mui	 Ethiopia	MUJ	
Mukah	 Sarawak	MKM	
Mukalla	 Yemen	MKX	
Mukeiras	 Yemen	UKR	
Muko Muko	 Indonesia	MPC	
Mulatos	 Colombia	ULS	
Mulege	 Mexico	MUG	
Mulga Park	 Northern Territory	MUP	
Mulhouse [Basel/Mulhouse EuroAirport]	 France	MLH	
Mulia	 Indonesia	LII	
Mulka	 South Australia	MVK	
Mull	 United Kingdom	ULL	
Mullen	 NE [Hooker County Airport]	MHN	
Mullewa	 Western Australia	MXU	
Multan	 Pakistan	MUX	
Mulu	 Malaysia	MZV	
Mumias	 Kenya	MUM	
Munbil	 Papua New Guinea	LNF	
Muncie	 IN [Delaware County Airport-Johnson Field]	MIE	
Munda	 New Georgia Is.	MUA	
Munduku	 Papua New Guinea	MDM	
Mungeranie	 South Australia	MNE	
Muong Sai	 Laos	UON	
Murcia [San Javier]	 Spain	MJV	
Muriae	 MG	QUR	
Murmansk	 Murmansk	MMK	
Murray Bay	 NT	YML	
Murray Islands	 Queensland	MYI	
Murray	 KY [Kyle-Oakley Field]	CEY	
Muscat [Seeb]	 Oman	MCT	
Muscatine	 IA [Muscatine Municipal Airport]	MUT	
Muscle Shoals	 AL [Muscle Shoals Regional Airport]	MSL	
Musgrave	 Queensland	MVU	
Musha	 Djibouti	MHI	
Muskegon	 MI [Northside Airport]	MKG	
Muskogee	 OK [Davis Field]	MKO	
Muskogee	 OK [Hatbox Field]	HAX	
Muskoka	 ON [Muskoka Airport]	YQA	
Muskrat Dam	 ON [Muskrat Dam Airport]	MSA	
Musoma	 Tanzania	MUZ	
Mussau	 Papua New Guinea	MWU	
Mustique Island	 St. Vincent and the Grenadines	MQS	
Mutare	 Zimbabwe	UTA	
Muting	 Indonesia	MUF	
Muttaburra	 Queensland	UTB	
Muzaffarabad	 Pakistan	MFG	
Muzaffarnagar	 India	MZA	
Muzaffarpur	 India	MZU	
Mwadui	 Tanzania	MWN	
Mwanza	 Tanzania	MWZ	
Mweka	 Zaire	MEW	
Myeik (Mergui)	 Myanmar	MGZ	
Myitkyina	 Myanmar	MYT	
Mykolayiv (Nikolayev)	 Mykolayiv	NLV	
Myroodah	 Australia	MYO	
Myrtle Beach	 SC [Myrtle Beach Air Force Base]	MYR	
Mysore	 India	MYQ	
Mytilene (Mitilini)	 Lesbos Island	MJT	
Myvatn [Reykjahlidh]	 Iceland	MVA	
Mzamba	 South Africa	MZF	
Mzuzu	 Malawi	ZZU	
N'Dende	 Gabon	KDN	
N'Djamena	 Chad	NDJ	
N'Djole	 Gabon	KDJ	
N'Dola	 Zambia	NLA	
N'Gaoundere	 Cameroon	NGE	
N'Kongsamba	 Cameroon	NKS	
N'zeto	 Angola	ARZ	
N Zerekore	 Guinea	NZE	
Naberezhnyye Chelny	 Tatarstan	NBC	
Nabire	 Indonesia	NBX	
Nacala	 Mozambique	MNC	
Nachingwea	 Tanzania	NCH	
Nacogdoches	 TX [A.L. Mangham Jr. Regional Airport]	OCH	
Nadi	 Fiji	NAN	
Nador	 Morocco	NDR	
Nadym	 Tyumen	NYM	
Naga	 Philippines	WNP	
Nagano	 Japan	QNG	
Nagasaki	 Japan	NGS	
Nagoya	 Honshu [Komaki]	NGO	
Nagpur	 India	NAG	
Naha	 Japan	NHJ	
Naha	 Okinawa [Naha Air Force Base]	AHA	
Naha	 Sangihe	NAH	
Nain	 NF [Nain Airport]	YDP	
Nairobi [Jomo Kenyatta]	 Kenya	NBO	
Nairobi [Wilson]	 Kenya	WIL	
Nakashibetsu	 Japan	SHB	
Nakhon Phanom	 Thailand	KOP	
Nakhon Ratchasima	 Thailand	NAK	
Nakhon Si Thammarat	 Thailand	NST	
Nakina	 ON [Nakina Airport]	YQN	
Naknek	 AK [Naknek Airport]	NNK	
Nakuru	 Kenya	NUU	
Nalchik	 Kabardino-Balkaria	NAL	
Namangan	 Namangan	NMA	
Namatanai	 Papua New Guinea	ATN	
Nambour	 Queensland	NBR	
Nambucca Heads	 New South Wales	NBH	
Namibe [Mocamedes New Airport]	 Angola	MSZ	
Namlea	 Indonesia	NAM	
Namorik [Namorik Airport]	 Marshall Islands	NDK	
Nampula	 Mozambique	APL	
Namrole	 Buru Island	NRE	
Namsang	 Myanmar	NMS	
Namsos	 Norway	OSY	
Namtu	 Myanmar	NMT	
Namu	 BC	ZNU	
Namu	 Marshall Islands	NMU	
Namudi	 Papua New Guinea	NDI	
Namutoni	 Namibia	NNI	
Nan	 Thailand	NNT	
Nanaimo	 BC [Nanaimo Airport]	YCD	
Nanaimo	 BC [Nanaimo Harbour Seaplane Base]	ZNA	
Nanchang	 China	KHN	
Nanchong	 China	NAO	
Nancy [Essey]	 France	ENC	
Nanded	 India	NDC	
Nangade	 Mozambique	NND	
Nangapinoh	 Indonesia	NPO	
Nanisivik	 NT [Nanisivik Airport]	YSR	
Nanjing	 China	NKG	
Nanki Shirahana	 Japan	SHM	
Nankina	 Papua New Guinea	NKN	
Nanning	 China	NNG	
Nanortalik	 Greenland	JNN	
Nantes [Chateau Bougon]	 France	NTE	
Nantong	 China	NTG	
Nantucket	 MA [Nantucket Memorial Airport]	ACK	
Nanuque	 MG	NNU	
Nanyang	 China	NNY	
Nanyuki	 Kenya	NYK	
Naoro	 Papua New Guinea	NOO	
Napa	 CA [Napa County Airport]	APC	
Napakiak	 AK [Napakiak Airport]	WNA	
Napaskiak	 AK [Napaskiak Airport]	PKA	
Napier/Hastings	 New Zealand	NPE	
Naples	 FL [Naples Municipal Airport]	APF	
Napoli (Naples) [Capodichino]	 Italy	NAP	
Nappa Merry	 Queensland	NMR	
Napperby	 Northern Territory	NPP	
Napuka	 French Polynesia	NAU	
Nara	 Mali	NRM	
Naracoorte	 South Australia	NAC	
Narathiwat	 Thailand	NAW	
Nare	 Colombia	NAR	
Nargana	 Panama	NGN	
Narooma	 Australia	QRX	
Narrabri	 New South Wales	NAA	
Narrandera	 New South Wales	NRA	
Narrogin	 Western Australia	NRG	
Narromine	 New South Wales	QRM	
Narssaq	 Greenland	JNS	
Narssarssuaq	 Greenland	UAK	
Narum	 Papua New Guinea	NRU	
Narvik [Framnes]	 Norway	NVK	
Nashua	 NH [Boire Field]	ASH	
Nashville	 TN [John C. Tune Airport]	JWN	
Nashville	 TN [Nashville International Airport]	BNA	
Nasik	 India	ISK	
Nassau	 New Providence [International Airport]	NAS	
Nassau	 New Providence [Nassau Seaplane Base]	WZY	
Natadola	 Fiji	NTA	
Natal	 RN	NAT	
Natashquan	 QC [Natashquan Airport]	YNA	
Natchez	 MS [Hardy-Anders Field Natchez-Adams County]	HEZ	
Natitingou	 Benin	NAE	
Natuna Ranai	 Indonesia	NTX	
Naukiti	 AK	NKI	
Nauru [International]	 Nauru	INU	
Navegantes	 Brazil	NVT	
Nawab Shah	 Pakistan	WNS	
Naxos	 Greece	JNX	
Nazca	 Peru	NZA	
Ndele	 Central African Republic	NDL	
Necochea	 Argentina	NEC	
Necocli	 Colombia	NCI	
Needles	 CA [Needles Airport]	EED	
Nefteyugansk	 Tyumen	NFG	
Negage	 Angola	GXG	
Negarbo	 Papua New Guinea	GBF	
Negginan	 MB	ZNG	
Neghelli	 Ethiopia	EGL	
Negril	 Jamaica	NEG	
Neiva	 Colombia	NVA	
Nejran	 Saudi Arabia	EAM	
Nekemete	 Ethiopia	NEK	
Nekempt	 Ethiopia	LKM	
Nelson Lagoon	 AK [Nelson Lagoon Airport]	NLG	
Nelson	 BC [Nelson Airport]	ZNL	
Nelson	 New Zealand	NSN	
Nelspruit	 South Africa	NLP	
Nema	 Mauritania	EMN	
Nemiscau	 QC [Nemiscau Airport]	YNS	
Nenana	 AK [Nenana Municipal Airport]	ENN	
Neosho	 MO [Neosho Memorial Airport]	EOS	
Nepalganj	 Nepal	KEP	
Nephi	 UT [Nephi Municipal Airport]	NPH	
Neryungri	 Yakutia-Sakha	NER	
Neu Isenburg	 Germany	QGV	
Neumuenster	 Germany	EUM	
Neuquen	 Argentina	NQN	
Nevada	 MO [Nevada Municipal Airport]	NVD	
Neveras	 France	NVS	
New Bedford	 MA [New Bedford Municipal Airport]	EWB	
New Bern	 NC [Craven County Regional Airport]	EWN	
New Castle	 IN [New Castle-Henry County Municipal Airport]	UWL	
New Chenega	 AK	NCN	
New Halfa	 Sudan	NHF	
New Haven	 CT [Tweed-New Haven Airport]	HVN	
New Iberia	 LA [Acadiana Regional Airport]	ARA	
New Madrid	 MO [County Memorial Airport]	EIW	
New Moon	 Queensland	NMP	
New Orleans	 LA (Moisant Field)]	MSY	
New Orleans	 LA [Lakefront Airport]	NEW	
New Orleans	 LA [New Orleans Naval Air Station] USA	NBG	
New Philadelphia	 OH [Harry Clever Field]	PHD	
New Plymouth	 New Zealand	NPL	
New Richmond	 WI [New Richmond Municipal Airport]	RNH	
New Stuyahok	 AK [New Stuyahok Airport]	KNW	
New Ulm	 MN [New Ulm Municipal Airport]	ULM	
New Valley	 Egypt	UVL	
New York (Flushing)	 NY [Flushing Airport]	FLU	
New York	 NY [East 34th Street Heliport]	TSS	
New York	 NY [East 60th Street Heliport]	JRE	
New York	 NY [John F. Kennedy International Airport]	JFK	
New York	 NY [La Guardia Airport]	LGA	
New York	 NY [Metropolitan Area]	NYC	
New York	 NY [New York Skyports Inc. Seaplane Base]	NES	
New York	 NY [Downtown Heliport] USA	JWS	
New York	 NY [Port Authority-Downtown] USA	JRB	
New York	 NY [West 30th Street Midtown Heliport]	JRA	
New York	 NY [Wall St. Seaplane Dock]	WSS	
New York	 NY [World Trade Center]	WTC	
Newark	 NJ [Newark International Airport]	EWR	
Newberry	 MI [Luce County Hale Airport]	ERY	
Newburgh	 NY [Stewart International Airport]	SWF	
Newbury	 England [Greenham Common RAF Station]	EWY	
Newcastle	 New South Wales [Belmont Airport]	BEO	
Newcastle	 New South Wales [Williamtown Airport]	NTL	
Newcastle	 South Africa	NCS	
Newcastle	 United Kingdom	NCL	
Newcastle	 WY [Mondell Field]	ECS	
Newman	 Western Australia	ZNE	
Newport Beach	 CA	JNP	
Newport News/Williamsburg	 VA USA	PHF	
Newport	 NH [Parlin Field]	NWH	
Newport	 OR [Newport Municipal Airport]	ONP	
Newport	 RI [Newport State Airport]	NPT	
Newport	 VT [Newport State Airport]	EFK	
Newquay [St. Mawgan Airport]	 United Kingdom	NQY	
Newry	 Northern Territory	NRY	
Newtok	 AK [Newtok Airport]	EWU	
Newtok	 AK [Newtok Seaplane Base]	WWT	
Newton	 IA [Newton Municipal Airport]	TNU	
Newton	 KS [Newton-City-County Airport]	EWK	
Neyveli	 India	NVY	
Ngau	 Fiji	NGI	
Ngoma	 Zambia	ZGM	
Ngukurr	 Northern Territory	RPM	
Nha-Trang	 Vietnam	NHA	
Nhulunbuy	 Northern Territory [Gove]	GOV	
Niagara Falls	 NY [Niagara Falls Int'l Airport]	IAG	
Niamey	 Niger	NIM	
Niamtougou/Lama Kara	 Togo	LRL	
Niblack	 AK	NIE	
Nicaro	 Cuba	ICR	
Nice [Cote d'Azur]	 France	NCE	
Nichen Cove	 AK	NKV	
Nicholson Peninsula	 NT Canada	YUC	
Nicholson	 Western Australia	NLS	
Nicosia [Makarios]	 Cyprus	NMK	
Nicosia	 Cyprus	NIC	
Nicoya	 Costa Rica	NCT	
Nieuw Nickerie (New Nickerie)	 Suriname	ICK	
Nifty	 Western Australia	NIF	
Nigerum	 Papua New Guinea	NGR	
Nightmute	 AK [Nightmute Airport]	NME	
Niigata	 Honshu	KIJ	
Niihame	 Japan	IHA	
Nikolai	 AK [Nikolai Airport]	NIB	
Nikolski	 AK	IKO	
Nikunau	 Kiribati	NIG	
Niles	 MI [Jerry Tyler Memorial Airport]	NLE	
Nimba	 Liberia	NIA	
Nimes [Arles-Camargue (Garons)]	 France	FNI	
Nimroz	 Afghanistan	IMZ	
Ningbo	 China	NGB	
Ninilchik	 AK [Ninilchik Airport]	NIN	
Nioki	 Zaire	NIO	
Niokolo Koba	 Senegal	NIK	
Nioro	 Mali	NIX	
Niort	 France	NII	
Niort	 France	NIT	
Nipa	 Papua New Guinea	NPG	
Nipawin	 SK [Nipawin Airport]	YBU	
Niquelandia	 GO	NQL	
Nis	 Yugoslavia	INI	
Nishinoomote	 Japan	IIN	
Nissan Island	 Papua New Guinea	IIS	
Nitchequon	 QC	YNI	
Niteroi	 RJ	QNT	
Niuafo'ou	 Western Samoa	NFO	
Niuatoputapu	 Western Samoa	NTT	
Niue Island	 Niue Island	IUE	
Nizhevartovsk	 Tyumen	NJC	
Nizhniy Novgorod	 Nizhniy Novgorod [Sormavo]	GOJ	
Njombe	 Tanzania	JOM	
Nkan	 Gabon	NKA	
Nkaus	 Lesotho	NKU	
Nkayi	 Congo	NKY	
Nkolo	 Zaire	NKL	
Noatak	 AK [Noatak Airport]	WTK	
Nogales	 AZ [Nogales International Airport]	OLS	
Nogales	 Mexico	NOG	
Nojabrxsk	 Russia	NOJ	
Nomad River	 Papua New Guinea	NOM	
Nome	 AK [Nome Airport]	OME	
Nondalton	 AK [Nondalton Airport]	NNL	
Nonouti	 Kiribati	NON	
Noonkanbah	 Western Australia	NKB	
Noorvik	 AK [Robert Curtis Memorial Airport]	ORV	
Noosa	 Queensland	NSA	
Noosaville	 Queensland	NSV	
Nootka Sound	 BC	YNK	
Nora	 AK	QAA	
Norddeich	 Germany	NOE	
Norden	 Germany	NOD	
Norderney	 Germany	NRD	
Nordfjordur	 Iceland	NOR	
Nordholz	 Germany	NDZ	
Norfolk Island	 Norfolk Island	NLK	
Norfolk	 NE [Karl Stefan Memorial Airport]	OFK	
Norfolk	 VA [Norfolk Naval Air Station (Chambers Field)]	NGU	
Norfolk/Virginia Beach/Williamsburg	 VA USA	ORF	
Noril'sk (Noryl'sk	Norylsk)	NSK	 Russia
Norman's Cay	 Bahamas	NMC	
Norman Wells	 NT [Norman Wells Airport]	YVQ	
Norman	 OK [University of Oklahoma Westheimer Airport]	OUN	
Normanton	 Queensland	NTN	
Norridgewock	 ME [Central Maine Airport of Norridgewock]	OWK	
Norrkoping [Kungsangen]	 Sweden	NRK	
Norseman	 Western Australia	NSM	
Norsup	 Vanuatu	NUS	
North Battleford	 SK [North Battleford Airport]	YQW	
North Bay	 ON [North Bay Airport]	YYB	
North Bend	 OR [North Bend Municipal Airport]	OTH	
North Caicos	 Turks & Caicos	NCA	
North Eleuthera	 Eleuthera [North Eleuthera]	ELH	
North Kingstown/Quonset Point	 RI [Quonset State Airport]	NCO	
North Myrtle Beach	 SC [Grand Strand Airport]	CRE	
North Platte	 NE [North Platte Regional Airport]	LBF	
North Ronaldsway	 United Kingdom	NRL	
North Spirit Lake	 ON	YNO	
North Vernon	 IN [North Vernon Airport]	OVO	
North Wilkesboro	 NC [Wilkes County Airport]	UKF	
North	 SC [North Air Force Auxiliary Airport]	XNO	
Northampton/Peterborough	 England	ORM	
Northbrook	 IL [Plaza Heliport]	OBK	
Northeast Cape	 AK	OHC	
Northolt	 England [Northholt Aerodrome]	NHT	
